label,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,dist_thumb_index,dist_thumb_middle,dist_thumb_ring,dist_thumb_pinky,dist_index_middle,dist_index_ring,dist_index_pinky,dist_middle_ring,dist_middle_pinky,dist_ring_pinky
A,0.198471,-0.149414,-0.092732,0.330626,-0.472040,-0.109983,0.411597,-0.724454,-0.124397,0.496210,-0.868202,-0.113002,0.149469,-0.698812,0.010751,0.151682,-0.846346,-0.083834,0.157194,-0.604638,-0.119540,0.141594,-0.588538,-0.135569,-0.000000,-0.678013,0.015123,0.003639,-0.793331,-0.092441,0.051474,-0.513355,-0.104189,0.045367,-0.552682,-0.087719,-0.140168,-0.630741,-0.005805,-0.147631,-0.749738,-0.121932,-0.086310,-0.498074,-0.077483,-0.095375,-0.524796,-0.019365,-0.273179,-0.578181,-0.035777,-0.285225,-0.683789,-0.090417,-0.228205,-0.514022,-0.047724,-0.234464,-0.503325,-0.001220,0.451624,0.550285,0.684033,0.816713,0.102691,0.245393,0.385592,0.143478,0.284150,0.140736
A,0.198277,-0.157617,-0.089229,0.329958,-0.478042,-0.106115,0.410499,-0.729585,-0.120947,0.497772,-0.867308,-0.111435,0.147654,-0.688166,0.009190,0.150707,-0.844495,-0.083484,0.159014,-0.604025,-0.118061,0.144261,-0.584126,-0.133682,-0.000000,-0.668314,0.012844,0.005294,-0.795430,-0.094249,0.053156,-0.513967,-0.104747,0.044449,-0.544645,-0.087837,-0.137901,-0.621570,-0.007845,-0.145859,-0.748561,-0.122608,-0.084427,-0.498557,-0.076834,-0.094654,-0.515008,-0.017943,-0.267612,-0.568068,-0.037054,-0.279030,-0.686713,-0.088594,-0.220094,-0.519786,-0.043104,-0.225364,-0.498625,0.004711,0.452948,0.556429,0.689263,0.811697,0.107338,0.248712,0.379385,0.142225,0.273709,0.131733
A,0.196462,-0.157471,-0.087633,0.326233,-0.478172,-0.105794,0.405500,-0.730775,-0.122840,0.491914,-0.870644,-0.116297,0.146920,-0.693163,0.014365,0.140386,-0.840490,-0.081066,0.154584,-0.608440,-0.119358,0.147515,-0.588193,-0.136865,0.000000,-0.672575,0.015714,-0.002755,-0.789880,-0.093207,0.051218,-0.517161,-0.107485,0.050015,-0.549334,-0.092770,-0.138287,-0.625272,-0.007537,-0.152794,-0.744801,-0.124835,-0.088082,-0.500577,-0.082939,-0.090689,-0.517578,-0.026130,-0.270146,-0.569462,-0.039091,-0.286472,-0.683570,-0.095323,-0.227364,-0.517373,-0.052997,-0.227835,-0.497364,-0.006282,0.445409,0.546365,0.681236,0.810788,0.104958,0.248450,0.386183,0.144243,0.282669,0.138628
A,0.197373,-0.160130,-0.086697,0.327155,-0.482929,-0.101836,0.408105,-0.730632,-0.115909,0.494416,-0.869225,-0.106401,0.148492,-0.695195,0.017440,0.146000,-0.845325,-0.075463,0.154851,-0.607621,-0.112631,0.144470,-0.585671,-0.129827,0.000000,-0.676269,0.019449,0.000716,-0.794126,-0.086824,0.050674,-0.519177,-0.101815,0.049638,-0.550432,-0.088305,-0.139605,-0.628678,-0.002919,-0.151979,-0.748897,-0.118354,-0.089997,-0.499374,-0.076970,-0.092793,-0.515595,-0.020990,-0.271582,-0.573084,-0.033472,-0.286726,-0.686905,-0.088088,-0.229303,-0.516593,-0.045447,-0.231012,-0.496158,0.000968,0.450406,0.547226,0.685469,0.815736,0.101167,0.247395,0.386004,0.146629,0.285850,0.139579
A,0.196819,-0.163140,-0.090244,0.324183,-0.485850,-0.107130,0.403016,-0.734359,-0.121426,0.489154,-0.872197,-0.110734,0.150365,-0.695073,0.011707,0.139709,-0.842794,-0.080985,0.146795,-0.606309,-0.117905,0.139938,-0.594794,-0.135773,-0.000000,-0.672950,0.016610,-0.002860,-0.785475,-0.089718,0.045506,-0.512551,-0.104756,0.046999,-0.554693,-0.092215,-0.141163,-0.624641,-0.002651,-0.151541,-0.740665,-0.116015,-0.091146,-0.494733,-0.073016,-0.096036,-0.519391,-0.017326,-0.272688,-0.572245,-0.030469,-0.284034,-0.674747,-0.082204,-0.229293,-0.510431,-0.039164,-0.236442,-0.500833,0.006398,0.445987,0.544344,0.683315,0.815108,0.101221,0.247728,0.387931,0.147327,0.288513,0.141627
A,0.203100,-0.162224,-0.087068,0.334481,-0.482243,-0.100228,0.412540,-0.728751,-0.110872,0.496776,-0.867879,-0.096301,0.149802,-0.702732,0.016111,0.157777,-0.840946,-0.073021,0.161152,-0.599664,-0.108873,0.142965,-0.593326,-0.126823,0.000000,-0.681827,0.020098,0.010819,-0.793095,-0.083237,0.056627,-0.517279,-0.096473,0.045979,-0.559512,-0.082876,-0.139415,-0.633161,0.000090,-0.141239,-0.749704,-0.110386,-0.079647,-0.501712,-0.066771,-0.093391,-0.528236,-0.010877,-0.270587,-0.580026,-0.028589,-0.280186,-0.683903,-0.078250,-0.221504,-0.519130,-0.034970,-0.231288,-0.509374,0.010842,0.447841,0.546176,0.680922,0.811544,0.102712,0.245154,0.383553,0.142836,0.281764,0.139181
A,0.200235,-0.153024,-0.091520,0.328737,-0.479621,-0.108263,0.406983,-0.730731,-0.122528,0.495770,-0.868454,-0.112038,0.148341,-0.699324,0.012838,0.146640,-0.848040,-0.080890,0.152835,-0.610736,-0.117664,0.139607,-0.593440,-0.134414,0.000000,-0.678763,0.017277,-0.000460,-0.793173,-0.090033,0.046651,-0.517083,-0.103664,0.042239,-0.555476,-0.088840,-0.138786,-0.630532,-0.003258,-0.152380,-0.744580,-0.119714,-0.090482,-0.496790,-0.077884,-0.095284,-0.520362,-0.021454,-0.269983,-0.576393,-0.032512,-0.288049,-0.684201,-0.087608,-0.227142,-0.515233,-0.045380,-0.224947,-0.496805,0.000885,0.449983,0.551041,0.685939,0.810898,0.104507,0.245996,0.377144,0.141935,0.273551,0.131785
A,0.197642,-0.160129,-0.090970,0.332389,-0.477738,-0.109897,0.418830,-0.721029,-0.126483,0.508092,-0.861303,-0.117731,0.148810,-0.698927,0.007318,0.160087,-0.841494,-0.086942,0.163963,-0.605216,-0.122988,0.142985,-0.596735,-0.139781,0.000000,-0.677913,0.011631,0.008976,-0.788945,-0.097205,0.053994,-0.513938,-0.108429,0.039781,-0.557102,-0.092061,-0.140129,-0.629478,-0.008600,-0.144586,-0.748013,-0.124918,-0.084823,-0.502886,-0.079736,-0.101182,-0.530848,-0.021214,-0.272531,-0.575803,-0.037551,-0.283772,-0.687826,-0.091078,-0.223087,-0.522853,-0.047195,-0.229484,-0.508584,-0.000025,0.450887,0.558438,0.693120,0.817575,0.110552,0.252901,0.382758,0.143388,0.273601,0.130219
A,0.195721,-0.168802,-0.085414,0.326346,-0.490405,-0.097782,0.411721,-0.729433,-0.107616,0.497470,-0.867481,-0.092088,0.145325,-0.711970,0.020081,0.156079,-0.843666,-0.065842,0.159490,-0.608386,-0.101190,0.139427,-0.605426,-0.118919,-0.000000,-0.692504,0.024774,0.009756,-0.796345,-0.073717,0.054470,-0.526124,-0.086103,0.041798,-0.569810,-0.072317,-0.137589,-0.643689,0.005699,-0.139541,-0.752791,-0.099426,-0.080883,-0.512580,-0.057844,-0.097675,-0.540773,-0.003964,-0.268436,-0.589998,-0.021871,-0.276165,-0.695116,-0.066666,-0.218518,-0.535996,-0.023302,-0.229623,-0.524840,0.022211,0.443698,0.544284,0.678923,0.803783,0.103922,0.245758,0.377746,0.142464,0.275122,0.132907
A,0.199534,-0.156227,-0.091949,0.332341,-0.473913,-0.113239,0.415419,-0.725885,-0.132759,0.502552,-0.864547,-0.128012,0.147451,-0.682590,0.006644,0.147083,-0.845725,-0.089286,0.156293,-0.602579,-0.124949,0.146733,-0.571747,-0.140034,0.000000,-0.662918,0.011314,0.002297,-0.794286,-0.099355,0.050251,-0.512619,-0.111420,0.048124,-0.538792,-0.094617,-0.138407,-0.616301,-0.008519,-0.150639,-0.742400,-0.125825,-0.089429,-0.492146,-0.080720,-0.093565,-0.507137,-0.021622,-0.268503,-0.562756,-0.036898,-0.283357,-0.677929,-0.090513,-0.228953,-0.511665,-0.046275,-0.234047,-0.493323,0.001064,0.460803,0.559125,0.695052,0.824855,0.103970,0.248833,0.388772,0.145182,0.285811,0.141159
A,0.198753,-0.158830,-0.083615,0.330146,-0.479581,-0.100804,0.408964,-0.730524,-0.117526,0.495185,-0.868788,-0.111036,0.146442,-0.698755,0.015197,0.148262,-0.847834,-0.076374,0.158626,-0.612461,-0.112418,0.146533,-0.588798,-0.129065,0.000000,-0.679530,0.015244,0.003651,-0.797269,-0.088279,0.051772,-0.522309,-0.100131,0.046809,-0.550469,-0.084991,-0.138525,-0.631328,-0.008445,-0.145346,-0.751935,-0.120527,-0.084373,-0.505259,-0.076508,-0.090087,-0.519417,-0.019498,-0.270468,-0.574583,-0.040069,-0.279688,-0.690534,-0.091462,-0.223172,-0.524505,-0.046305,-0.227414,-0.505234,0.001583,0.447160,0.549880,0.681618,0.808901,0.106837,0.246582,0.383170,0.140373,0.277929,0.138058
A,0.194695,-0.166982,-0.084662,0.324055,-0.489353,-0.100141,0.407205,-0.734354,-0.114261,0.493827,-0.869560,-0.104802,0.147702,-0.696998,0.016355,0.146551,-0.848304,-0.073547,0.155782,-0.610164,-0.109749,0.145375,-0.586381,-0.126790,0.000000,-0.677309,0.018545,0.002054,-0.798453,-0.084394,0.052029,-0.524384,-0.097831,0.048829,-0.550385,-0.083933,-0.138309,-0.628145,-0.002823,-0.150014,-0.752098,-0.113122,-0.087411,-0.505554,-0.070119,-0.091817,-0.514397,-0.014061,-0.267470,-0.570210,-0.032340,-0.281593,-0.685882,-0.083384,-0.223826,-0.518977,-0.039698,-0.225953,-0.495883,0.006968,0.449009,0.547627,0.684923,0.810998,0.103038,0.247875,0.382197,0.145177,0.280136,0.135408
A,0.198750,-0.156146,-0.093370,0.326962,-0.474077,-0.113021,0.405530,-0.727595,-0.129526,0.489874,-0.871793,-0.121332,0.146662,-0.689595,0.008215,0.146891,-0.844387,-0.083606,0.154759,-0.606671,-0.120371,0.144288,-0.586294,-0.137813,-0.000000,-0.670193,0.014779,0.002717,-0.788304,-0.089031,0.051019,-0.517516,-0.103368,0.048325,-0.554466,-0.090614,-0.138555,-0.622076,-0.002821,-0.147467,-0.741058,-0.113207,-0.087165,-0.500902,-0.071092,-0.095489,-0.526158,-0.016513,-0.269788,-0.567998,-0.029279,-0.279763,-0.678153,-0.078638,-0.227616,-0.519617,-0.035392,-0.239788,-0.508928,0.010128,0.448262,0.543748,0.679789,0.814909,0.101104,0.247203,0.391791,0.146574,0.291690,0.145324
A,0.198674,-0.156936,-0.083760,0.332984,-0.478265,-0.099636,0.414445,-0.727500,-0.115036,0.500868,-0.865524,-0.105755,0.147023,-0.696906,0.013500,0.155131,-0.847211,-0.082891,0.161161,-0.603349,-0.119833,0.146565,-0.581792,-0.135844,0.000000,-0.675917,0.013540,0.007473,-0.793058,-0.094397,0.055703,-0.510657,-0.105728,0.048136,-0.546521,-0.089005,-0.139560,-0.628800,-0.010721,-0.145185,-0.749576,-0.125765,-0.082306,-0.494624,-0.079774,-0.092173,-0.515696,-0.020544,-0.273579,-0.575922,-0.043249,-0.284437,-0.686194,-0.095607,-0.226544,-0.516696,-0.050473,-0.233903,-0.502648,-0.002118,0.453910,0.553831,0.688533,0.819492,0.104558,0.247719,0.388613,0.143655,0.285431,0.142329
